Unnamed: 0,arrival_time,departure_time,street_marker,area,vio_time,vio_stay_time,date,week,noon
20643401,2016/11/29 2:58,5:02,13632E,Docklands,3:08,114,2016/11/29,2,1
20655774,2016/11/29 10:31,12:10,6661S,Titles,11:31,39,2016/11/29,2,1
20663936,2016/11/29 17:24,20:30,C128,Regency,20:24,6,2016/11/29,2,2
20676978,2016/11/29 7:30,10:20,106E,Regency,9:30,50,2016/11/29,2,1
20680274,2016/11/29 7:44,10:47,13011S,Docklands,9:44,63,2016/11/29,2,1
20713750,2016/11/29 18:00,20:30,C6642,Titles,20:00,30,2016/11/29,2,2
20722863,2016/11/29 13:19,14:48,C1216,Titles,14:19,29,2016/11/29,2,2
20731777,2016/11/29 9:01,17:41,13050N,Docklands,11:01,400,2016/11/29,2,1
20778615,2016/11/29 14:44,15:52,1203W,Titles,15:44,8,2016/11/29,2,2
20804557,2016/11/29 7:30,10:35,2153S,Twin Towers,8:30,125,2016/11/29,2,1
20814301,2016/11/29 13:14,15:40,12408N,Jolimont,15:14,26,2016/11/29,2,2
20852866,2016/11/29 11:17,17:56,14259W,University,15:17,159,2016/11/29,2,2
20874204,2016/11/29 7:30,8:35,103W,Regency,8:30,5,2016/11/29,2,1
20899369,2016/11/29 7:30,15:05,5106E,Courtney,8:00,425,2016/11/29,2,1
20923453,2016/11/29 9:55,12:38,13450E,Docklands,11:55,43,2016/11/29,2,1
20951480,2016/11/29 18:05,18:24,13418E,Docklands,18:15,9,2016/11/29,2,2
21004281,2016/11/29 12:30,13:36,4879W,Victoria Market,13:30,6,2016/11/29,2,2
21004586,2016/11/29 11:08,12:35,13617W,Docklands,11:18,77,2016/11/29,2,1
21038134,2016/11/29 7:52,16:08,C13684,Docklands,9:52,376,2016/11/29,2,1
21051212,2016/11/29 12:20,12:44,7013S,Victoria Market,12:35,9,2016/11/29,2,2
21061528,2016/11/29 14:44,15:25,13045S,Docklands,14:59,26,2016/11/29,2,2
21064447,2016/11/29 19:19,20:26,13224N,Docklands,19:34,52,2016/11/29,2,2
21091420,2016/11/29 9:52,10:16,13222N,Docklands,10:07,9,2016/11/29,2,1
21111997,2016/11/29 15:47,18:30,11600N,West Melbourne,17:47,43,2016/11/29,2,2
21129817,2016/11/29 7:36,9:43,1973S,Banks,8:06,97,2016/11/29,2,1
21133689,2016/11/29 22:31,23:32,11927W,East Melbourne,22:46,46,2016/11/29,2,2
21136429,2016/11/29 7:30,16:58,13273S,Docklands,9:30,448,2016/11/29,2,1
21149174,2016/11/29 10:03,14:05,5400E,Courtney,10:33,212,2016/11/29,2,1
21149607,2016/11/29 10:33,16:43,2563S,Supreme,11:33,310,2016/11/29,2,1
21185100,2016/11/29 12:31,13:36,10118E,Queensberry,13:31,5,2016/11/29,2,2
21191091,2016/11/29 9:55,11:22,87W,Regency,10:55,27,2016/11/29,2,1
21191106,2016/11/29 17:13,18:30,5290E,Courtney,18:13,17,2016/11/29,2,2
21219966,2016/11/29 12:31,13:51,1738N,Twin Towers,13:31,20,2016/11/29,2,2
21266710,2016/11/29 11:04,12:54,1725S,Twin Towers,12:04,50,2016/11/29,2,2
21300028,2016/11/29 13:50,15:59,C13524,Docklands,15:50,9,2016/11/29,2,2
21335831,2016/11/29 7:48,10:30,13228N,Docklands,8:03,147,2016/11/29,2,1
21346424,2016/11/29 9:45,10:21,957W,Library,10:15,6,2016/11/29,2,1
21369467,2016/11/29 10:03,14:16,13831S,Docklands,13:03,73,2016/11/29,2,2
21389677,2016/11/29 18:42,21:57,769W,Chinatown,20:42,75,2016/11/29,2,2
21392783,2016/11/29 10:27,12:33,18E,Twin Towers,12:27,6,2016/11/29,2,2
21418688,2016/11/29 9:56,11:22,13029S,Docklands,10:11,71,2016/11/29,2,1
